WKT,"name","abbrev","ne_id"
"POINT (75.9570722403652 30.8503598561702)","Sahnewal","LUH","1159113785"
"POINT (75.9330597710755 17.625415183635)","Solapur","SSE","1159113803"
"POINT (85.3235970368767 23.3177245989962)","Birsa Munda","IXR","1159113831"
"POINT (48.7471065435931 31.3431585560757)","Ahwaz","AWZ","1159113845"
"POINT (78.2172186546348 26.285487697937)","Gwalior","GWL","1159113863"
"POINT (42.97109630194 14.7552534413725)","Hodeidah Int'l","HOD","1159113883"
"POINT (75.8092915005895 22.727749187571)","Devi Ahilyabai Holkar Int'l","IDR","1159113903"
"POINT (73.8105674924689 19.9660205672806)","Gandhinagar","ISK","1159113917"
"POINT (76.8017261105242 30.6707248949667)","Chandigarh Int'l","IXC","1159113937"
"POINT (75.3958432922005 19.8672969621082)","Aurangabad","IXU","1159113953"
"POINT (72.9878190922305 31.3627435480862)","Faisalabad Int'l","LYP","1159113971"
"POINT (73.3163595376585 54.9576482934059)","Omsk Tsentralny","OMS","1159113991"
"POINT (82.6671524525865 55.0095847136264)","Novosibirsk Tolmachev","OVB","1159114013"
"POINT (35.3018728575279 47.8732635579023)","Zaporozhye Int'l","OZH","1159114037"
"POINT (101.446569298441 0.464600872998505)","Simpang Tiga","PKU","1159114047"
"POINT (145.243980298582 14.1717712971216)","Rota Int'l","ROP","1159114063"
"POINT (73.4084964764375 61.3401672194481)","Surgut","SGC","1159114081"
"POINT (78.7089578747476 10.7603571306554)","Tiruchirappalli","TRZ","1159114099"
"POINT (63.0279333519181 25.988794590011)","Turbat Int'l","TUK","1159114117"
"POINT (66.9487311480949 30.249043186181)","Quetta Int'l","UET","1159114135"
"POINT (60.900708564915 29.4752941956573)","Zahedan Int'l","ZAH","1159114153"
"POINT (112.711418617258 -7.92998002840567)","Abdul Rachman Saleh","MLG","1159114171"
"POINT (83.5504532124038 53.3633850813046)","Barnaul","BAX","1159114187"
"POINT (75.7584828456005 31.4329422397715)","Adampur","VIAX","1159114195"
"POINT (79.452002687657 28.4218087161144)","Bareilly","VIBY","1159114211"
"POINT (73.0320498392002 33.5614146278861)","Dhamial","OPQS","1159114231"
"POINT (127.495916124681 36.7220227766673)","Cheongju Int'l","CJJ","1159114253"
"POINT (126.810839481226 35.1400051390198)","Gwangju","KWJ","1159114271"
"POINT (128.637537699933 35.8999277969087)","Daegu Int'l","TAE","1159114289"
"POINT (129.355731047528 35.5928957527107)","Ulsan","USN","1159114319"
"POINT (105.176060419161 -5.242566777132)","Radin Inten II","WIIT","1159114325"
"POINT (81.7317271462187 25.443522027821)","Allahabad","IXD","1159114341"
"POINT (61.5122589740201 55.2977919496055)","Chelyabinsk","CEK","1159114359"
"POINT (120.209733318093 22.950667918347)","Tainan","TNN","1159114373"
"POINT (120.630703547584 24.2666555567115)","Taichung","RMQ","1159114393"
"POINT (4.43384434962876 51.9491301899382)","Rotterdam The Hague","RTM","1159114411"
"POINT (39.2254496447973 51.8126171268344)","Voronezh-Chertovitskoye","VOZ","1159114431"
"POINT (-2.85862065784938 53.3363751054422)","Liverpool John Lennon","LPL","1159114447"
"POINT (83.2235216387465 17.7279577384364)","Vishakapatnam","VTZ","1159114465"
"POINT (119.545691342151 -5.05893689455779)","Sultan Hasanuddin Int'l","UPG","1159114481"
"POINT (-173.968093944159 -18.5860058550654)","Vava'u Int'l","VAV","1159114497"
"POINT (-1.71034578407216 55.037084860802)","Newcastle Int'l","NCL","1159114519"
"POINT (-86.8514685020011 15.7451596659126)","Goloson Int'l","LCE","1159114531"
"POINT (39.6991359560417 24.5442339605661)","Madinah Int'l","MED","1159114549"
"POINT (-74.0287382984814 45.6832250979267)","Mirabel Int'l","YMX","1159114567"
"POINT (21.0974463986251 55.9713426235358)","Palanga Int'l","PLQ","1159114587"
"POINT (75.8010104192668 26.8211798100605)","Jaipur Int'l","JAI","1159114607"
"POINT (86.1724662363776 22.8154145110242)","Sonari","IXW","1159114623"
"POINT (29.54492 40.2555395007473)","Yenisehir","YEI","1159114643"
